recall_number,status,classification,state,country,recalling_firm,product_description,reason_for_recall,voluntary_mandated,recall_initiation_date,report_date,termination_date
H-0254-2025,Terminated,Class II,MI,United States,C SWEET PASTRY LLC,"C Sweet Maamoul with Dates 8 oz., UPC 852664042694",Undeclared soy and wheat,Voluntary: Firm initiated,20250625,20250716,20250812
F-0015-2023,Completed,Class I,GA,United States,Renaissance Food Group,"Large Mild Salsa, NET WT, 13 OZ (368g), Dist. By: Renaissance Food Group LLC 4322 Moreland Ave. Conley, GA 30288, UPC, 8 26766 19089 ?",Firm received positive test results for L. monocytogenes in a finished product. All products manufactured with the same components are being recalled.,Voluntary: Firm initiated,20220912,20221012,
F-0340-2013,Terminated,Class I,NM,United States,"Sunland, Incorporated","Heinen's Organic Peanut Butter Creamy 16 oz, UPC 2060140046; made for and distributed by Heinen's Inc, 4540 Richmond Road, Warrensville Heights, Ohio 44128.  Labeling is green, yellow, and white with white, red, green and black print writing.","Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.",Voluntary: Firm initiated,20120924,20121031,20141001
F-0506-2017,Terminated,Class II,GA,United States,CSM Bakery Products NA,"BM Westco Sup-R-Roll Donut Mix, 50#",Undeclared allergen; Peanut Protein,Voluntary: Firm initiated,20160421,20161130,20170825
F-0675-2023,Terminated,Class II,WA,United States,Lemonland Food Corp,"Seasoned Dried Pollack distributed in un-labeled plastic containers 6oz., 8 oz., and 12 oz.  Containers were then labeled at H-mart, G-mart, or M2M retail store.","Seasoned Dried Pollack was recalled due to undeclared Fish (Pollack), Wheat, Soybean.",Voluntary: Firm initiated,20230223,20230405,20230329
F-1715-2015,Terminated,Class II,CA,United States,Health One Pharmaceuticals Inc,"Femanol, 60 capsules, 500mg",Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,Voluntary: Firm initiated,20150204,20150408,20150331
F-0140-2013,Terminated,Class I,NM,United States,"C.G. Higgins Confections, LLC","Peanut Butter Fudge 3 oz bag, manufactured from 6-28-12 thru 9-20-12","Peanut Butter used to product Peanut Butter Fudge was recalled by Sunland, Inc.; therefore, this product has the potential to be contaminated with Salmonella.",Voluntary: Firm initiated,20120928,20121024,20130111
F-1729-2016,Terminated,Class II,MI,United States,Kellogg Company,"Keebler Cookie Dough Minis, 150 ct., 2.5 oz.",Kellogg Company initiated a voluntary recall of multiple snack food items because of the potential for undeclared allergen peanut due to a supplier's recall of flour.,Voluntary: Firm initiated,20160613,20160727,20170213
F-0327-2022,Terminated,Class II,IL,United States,KRAFT HEINZ FOODS COMPANY,Kool-Aid cherry drink mix powder   19 oz. UPC 043000953532   19 oz. UPC 043000034163   63 oz. UPC 043000082201,potential for glass and metal in product,Voluntary: Firm initiated,20211111,20211222,20240906
F-0001-2015,Terminated,Class I,TX,United States,"Whole Foods Market Brand 365, Llc","Mini Butter Croissant 6 Pack  Ingredients: Wheat Flour (unbleached enriched wheat flour, malted barley flour, niacin, Iron, thiamin mononitrate, riboflavin, ascorbic acid, folic acid), Butter, Water, Sugar, Non Fat Dry Milk, Yeast, Salt, Dough Conditioner (dextrose, wheat flour, soybean oil, ascorbic acid, natural enzymes).  CONTAINS:  MILK, WHEAT, SOY.      NET WT 9.0 oz (0.56 lb)      COUNT/PACKAGES 1 SELL-BY DATE 04/22/2014 TOTAL PRICE $4.99      Dist. by Whole Foods Market 8190 Park Lane, Dallas, TX 75231",Undeclared egg allergen,Voluntary: Firm initiated,20140418,20141015,20150202
F-1091-2022,Terminated,Class II,PA,United States,DYMSKI PIEROGI LLC,Potato and Cheese Pierogi  Grandma s Cuisine Potato-Cheese Pierogi  UPC: 7 1375737813 0 & 8 67355 0030 3lb/3 dozen & 14oz (397g)/1dozen Bernat s Potato & Cheese 16oz (450g) Golden Eagle Potato and Cheese Pierogis UPC: 0 94922 10425 0	16oz Zuzanna s Potato-Cheese Pierogi 16 oz.,Undeclared milk and wheat,Voluntary: Firm initiated,20220506,20220608,20221025
F-0823-2016,Terminated,Class III,TX,United States,"C. H. Guenther & Son, Inc.dba Morrison Milling",HEB Lemon Seasonal Fish Fry Mix NET WT. 16 OZ (1 LB) CONT. NET 454g and HEB Lemon Seasonal Fish Fry Mix NET WT. 10 OZ  CONT. NET 284g  packed in paper box,May contain small metal fragments from wire mesh sifter.,Voluntary: Firm initiated,20151207,20160420,20160802
F-1261-2015,Terminated,Class I,WA,United States,Elevated Ice Cream Company,Mango Italian Ice Product can be packaged in 2.5 gallon or 1.5 gallon plastic tubs or cardboard quart container.  Firm is unable to determine how batches were packaged.,Elevated brand ice cream products are being recalled due to the potential to be contaminated with Listeria monocytogenes.  These products contain ice cream mix produced and recalled by Snoqualmie Gourmet Ice Cream,Voluntary: Firm initiated,20141223,20150304,20150223
F-1736-2018,Terminated,Class I,MD,United States,Whole Foods Market Group Inc.,"CUPCAKE BERRY CHANTILLY MEDIUM, 4.5 Ounce","Whole Foods Market, Inc. has initiated a recall of various bakery products  that was made in there Mid-Atlantic stores and sold between May 25th and July 13th which failed to declare soy flour (soy) as an ingredient.",Voluntary: Firm initiated,20180713,20180815,20210903
F-1519-2013,Terminated,Class I,OH,United States,Trophy Nut Co Inc,Trophy Nut Brand 1.5 oz. Red Pistachio Tube and Nut Barrel Brand 1.25 oz. Red Pistachio Tube.,"The product is being recalled because it was manufactured using pistachios recalled by Setton Pistachios of Terra Bella, CA because it has the potential to be contaminated with Salmonella.",Voluntary: Firm initiated,20090407,20130619,20130610
F-1041-2016,Terminated,Class II,VA,United States,Abbott Nutrition,"The product is labeled as follows: PediaSure Grow & Gain Vanilla, Unit size : 8 oz. , Container description : Metal Can, Total package size : 24 cans per case .","Abbott Nutrition is recalling PediaSure Grow & Gain Vanilla is product because the product may have a different color, smell, taste or texture  inconsistent with other lots of PediaSure Grow & Gain Vanilla.     Abbott Nutrition  also recognized a complaint trend for physical stability and sensory on this batch on 1/25/16 and an investigation revealed a possibility that a small portion of cans may",Voluntary: Firm initiated,20160310,20160413,20161101
F-0364-2022,Terminated,Class II,FL,United States,"Joy's International Foods, Incorporated","Joy's Gourmet Blast Off! Bloody Mary Mix, Net Wt. 24 Oz",Undeclared Fish and Soy,Voluntary: Firm initiated,20211213,20220112,20220316
F-2807-2015,Terminated,Class II,IL,United States,"Boba Direct, Inc.","Foil bags containing 2.2 lbs. each of pineapple flavored powder and sold under the Boba Direct, Inc. brand.",Bubble tea powders contain undeclared allergens.,Voluntary: Firm initiated,20130109,20150715,20170814
F-2351-2017,Terminated,Class II,AK,United States,Alaska Pasta Company,"Ravioli  Orso. Product is made refrigerated.    Product is packaged in plastic containers. The plastic containers are marked on the side of the container with the customer name (middle top), date of production (bottom left), and weight of product in lbs (bottom right). Some containers have Alaska Pasta written on them.     Product is not packaged for retail and weights vary depending on orders.","Undeclared soy lecithin. The firm used Canola oil cooking spray, which contains soy lecithin, in the manufacture of product but soy or soy lecithin is not declared on finished product label.",Voluntary: Firm initiated,20170522,20170614,20171019
F-0988-2022,Terminated,Class II,WA,United States,Continental Mills (Corporate Office),"Item # 721-1000, Krusteaz Belgian Waffle Mix.  Product is shelf stable and packaged in a box. net wt. 28 oz., UPC 0 41449 00186 9.",foreign materials,Voluntary: Firm initiated,20220310,20220420,20230515
F-2196-2014,Terminated,Class II,NY,United States,Country Life,"Country Life TARGET MINS CALCIUM MAGNESIUM With Vitamin D3 Complex, WILD BLUEBERRY FLAVOR, LIQUID Dietary Supplement, 16 FL. OZ. (1 PINT) (472 mL), Product No. 2523, Bar Code 015794025238, and 32 FL. OZ. (1 QT) (944 mL), Product No. 2522, Bar code 015794025221 --- Manufactured for Country Life, LLC 180 Vanderbilt Motor Parkway, Hauppauge, NY 11788",The affected lots do not meet quality standards due to insoluble particulates.,Voluntary: Firm initiated,20140619,20140730,20170503
F-1197-2023,Terminated,Class I,IL,United States,"Newly Weds Foods, Inc.",S04380	BEEF RUB                    X1	50.00	BAG,Products may contain Salmonella,Voluntary: Firm initiated,20230526,20230712,20240723
F-0832-2023,Terminated,Class I,MI,United States,Meijer Inc,Fresh From Meijer Chicken Cobb Salad 8.8 Oz UPC - 719283679321,Listeria monocytogenes,Voluntary: Firm initiated,20230405,20230517,20230512
F-0316-2018,Terminated,Class II,MI,United States,"GKI Foods, LLC","Dark Chocolate Almond Bark 10 oz.,10 lbs.","GKI Foods of Brighton, Michigan is voluntarily recalling multiple dark chocolate products because they may contain an undeclared milk allergen.",Voluntary: Firm initiated,20171027,20171129,20180709
